id,lon,lat,zona
392,-73.881645,40.751616,Queens
393,-73.877048,40.75212,Queens
394,-73.883024,40.758386,Queens
395,-73.878408,40.765954,Queens
396,-73.872295,40.76722,Queens
397,-73.86691,40.763341,Queens
398,-73.875895,40.759065,Queens
399,-73.871451,40.76023,Queens
400,-73.873178,40.751913,Queens
401,-73.870706,40.746764,Queens
402,-73.865954,40.759166,Queens
403,-73.860797,40.758938,Queens
404,-73.864533,40.755125,Queens
405,-73.858471,40.755738,Queens
406,-73.869214,40.751855,Queens
407,-73.874745,40.774029,Queens
408,-73.89377,40.744748,Queens
409,-73.888315,40.74496,Queens
410,-73.889985,40.741513,Queens
411,-73.885163,40.739267,Queens
412,-73.860823,40.750371,Queens
413,-73.856143,40.751303,Queens
414,-73.864871,40.749842,Queens
415,-73.861715,40.744482,Queens
416,-73.855715,40.744887,Queens
417,-73.87684,40.740668,Queens
418,-73.871575,40.742841,Queens
419,-73.8658,40.743562,Queens
420,-73.855366,40.739477,Queens
421,-73.870606,40.738521,Queens
422,-73.862911,40.739828,Queens
423,-73.862697,40.73586,Queens
424,-73.876157,40.733431,Queens
425,-73.876427,40.736926,Queens
426,-73.869462,40.734852,Queens
427,-73.883998,40.735004,Queens
428,-73.883903,40.730962,Queens
429,-73.882767,40.745624,Queens
430,-73.879663,40.744942,Queens
431,-73.876215,40.745057,Queens
432,-73.842941,40.744356,Queens
433,-73.900037,40.730946,Queens
434,-73.892346,40.731599,Queens
435,-73.900399,40.727128,Queens
436,-73.892077,40.727696,Queens
437,-73.899448,40.713536,Queens
438,-73.903621,40.717977,Queens
439,-73.905423,40.723313,Queens
440,-73.894132,40.717174,Queens
441,-73.916655,40.715459,Queens
442,-73.917135,40.710014,Queens
443,-73.908726,40.713288,Queens
444,-73.91116,40.70693,Queens
445,-73.903078,40.707849,Queens
446,-73.908985,40.702492,Queens
447,-73.90437,40.701308,Queens
448,-73.890118,40.708253,Queens
449,-73.899037,40.702968,Queens
450,-73.899094,40.698519,Queens
451,-73.90284,40.695949,Queens
452,-73.883573,40.7038,Queens
453,-73.875008,40.709516,Queens
454,-73.873366,40.704622,Queens
455,-73.886733,40.719224,Queens
456,-73.881174,40.714821,Queens
457,-73.87834,40.724095,Queens
458,-73.876504,40.720148,Queens
459,-73.870458,40.723697,Queens
460,-73.890871,40.723324,Queens
461,-73.881711,40.726344,Queens
462,-73.867743,40.71437,Queens
463,-73.8543,40.708597,Queens
464,-73.86469,40.706969,Queens
465,-73.857489,40.703431,Queens
466,-73.892899,40.696725,Queens
467,-73.887574,40.700448,Queens
468,-73.8545,40.702105,Queens
469,-73.844704,40.723221,Queens
470,-73.838823,40.721846,Queens
471,-73.839806,40.716623,Queens
472,-73.843717,40.712537,Queens
473,-73.853457,40.715534,Queens
474,-73.850504,40.72059,Queens
475,-73.856368,40.725352,Queens
476,-73.867922,40.7257,Queens
477,-73.862518,40.722105,Queens
478,-73.859319,40.716177,Queens
479,-73.869879,40.73006,Queens
480,-73.863759,40.728461,Queens
481,-73.862134,40.731983,Queens
482,-73.852456,40.727009,Queens
483,-73.852278,40.735616,Queens
484,-73.855923,40.734034,Queens
485,-73.854185,40.730783,Queens
486,-73.848635,40.729964,Queens
487,-73.845673,40.732159,Queens
488,-73.848419,40.788869,Queens
489,-73.845868,40.777118,Queens
490,-73.843738,40.783777,Queens
491,-73.832028,40.78745,Queens
492,-73.819138,40.793771,Queens
493,-73.831077,40.770175,Queens
494,-73.835788,40.755968,Queens
495,-73.831432,40.759424,Queens
496,-73.831579,40.762602,Queens
497,-73.83141,40.755335,Queens
498,-73.827971,40.75699,Queens
499,-73.82539,40.762437,Queens
500,-73.823954,40.759411,Queens
501,-73.820874,40.755994,Queens
502,-73.828417,40.751604,Queens
503,-73.820194,40.745717,Queens
504,-73.827763,40.746669,Queens
505,-73.831246,40.744682,Queens
506,-73.81492,40.750736,Queens
507,-73.799979,40.757035,Queens
508,-73.805351,40.754946,Queens
509,-73.812774,40.761936,Queens
510,-73.81323,40.759404,Queens
511,-73.812943,40.756295,Queens
512,-73.820366,40.761052,Queens
513,-73.819545,40.763514,Queens
514,-73.826144,40.766586,Queens
515,-73.821248,40.76843,Queens
516,-73.814325,40.767408,Queens
517,-73.79702,40.761342,Queens
518,-73.805549,40.762011,Queens
519,-73.807653,40.773627,Queens
520,-73.801748,40.768548,Queens
521,-73.819733,40.783872,Queens
522,-73.820772,40.774581,Queens
523,-73.810177,40.779068,Queens
524,-73.807861,40.783747,Queens
525,-73.790546,40.780708,Queens
526,-73.798736,40.779475,Queens
527,-73.803586,40.790818,Queens
528,-73.777138,40.791535,Queens
529,-73.780446,40.78361,Queens
530,-73.801487,40.750597,Queens
531,-73.804928,40.745024,Queens
532,-73.806303,40.740292,Queens
533,-73.838537,40.773963,Queens
534,-73.831628,40.736021,Queens
535,-73.813044,40.732548,Queens
536,-73.807786,40.733533,Queens
537,-73.799608,40.735116,Queens
538,-73.825128,40.724876,Queens
539,-73.817475,40.726601,Queens
540,-73.821962,40.71875,Queens
541,-73.814458,40.720545,Queens
542,-73.812953,40.717131,Queens
543,-73.820317,40.713611,Queens
544,-73.814605,40.713055,Queens
545,-73.815393,40.705784,Queens
546,-73.811607,40.709171,Queens
547,-73.808426,40.712116,Queens
548,-73.803901,40.712202,Queens
549,-73.799826,40.714279,Queens
550,-73.795253,40.714264,Queens
551,-73.788,40.715221,Queens
552,-73.779454,40.717662,Queens
553,-73.771576,40.722205,Queens
554,-73.766683,40.719325,Queens
555,-73.80824,40.72371,Queens
556,-73.799776,40.727138,Queens
557,-73.799423,40.720075,Queens
558,-73.7905,40.728294,Queens
559,-73.779878,40.731767,Queens
560,-73.787776,40.722395,Queens
561,-73.781744,40.725528,Queens
562,-73.791434,40.735157,Queens
563,-73.781576,40.737949,Queens
564,-73.768582,40.733699,Queens
565,-73.832818,40.709861,Queens
566,-73.823497,40.708917,Queens
567,-73.827121,40.706093,Queens
568,-73.836935,40.700442,Queens
569,-73.835253,40.704729,Queens
570,-73.829245,40.703284,Queens
571,-73.860973,40.694048,Queens
572,-73.862613,40.687994,Queens
573,-73.854125,40.689743,Queens
574,-73.844574,40.692231,Queens
575,-73.821009,40.698424,Queens
576,-73.827531,40.699287,Queens
577,-73.833645,40.695592,Queens
578,-73.858467,40.683181,Queens
579,-73.847863,40.685782,Queens
580,-73.843346,40.682817,Queens
581,-73.837352,40.681122,Queens
582,-73.837073,40.689608,Queens
583,-73.833208,40.686833,Queens
584,-73.820325,40.692512,Queens
585,-73.845771,40.696865,Queens
586,-73.85194,40.67858,Queens
587,-73.852554,40.674253,Queens
588,-73.841147,40.676178,Queens
589,-73.83219,40.673097,Queens
590,-73.83908,40.670641,Queens
591,-73.853492,40.665698,Queens
592,-73.847466,40.654059,Queens
593,-73.835155,40.657814,Queens
594,-73.830107,40.681261,Queens
595,-73.816655,40.687221,Queens
596,-73.824754,40.681753,Queens
